File names,start,end,pattern
2024-03-01_09-25-11_94GHz_FMCW.dat,30,32.6,hover
2024-03-01_09-28-17_94GHz_FMCW.dat,29,32,rotate
2024-03-01_09-29-20_94GHz_FMCW.dat,28.9,30.7,rotate
2024-03-01_09-30-38_94GHz_FMCW.dat,31.1,33.3,hover
2024-03-01_09-30-58_94GHz_FMCW.dat,31.2,33.1,rotate
2024-03-01_09-31-29_94GHz_FMCW.dat,31.3,33.1,rotate
2024-03-01_09-31-43_94GHz_FMCW.dat,31,33.3,rotate
2024-03-01_09-32-47_94GHz_FMCW.dat,32,34.2,hover
2024-03-01_09-33-05_94GHz_FMCW.dat,32,34,hover
2024-03-01_09-33-34_94GHz_FMCW.dat,32,34,rotate
2024-03-01_09-33-52_94GHz_FMCW.dat,32,34,rotate
2024-03-01_09-39-19_94GHz_FMCW.dat,28,30,hover
2024-03-01_09-49-31_94GHz_FMCW.dat,30,31.4,hover
2024-03-01_09-49-52_94GHz_FMCW.dat,31,32.3,hover
2024-03-01_09-51-11_94GHz_FMCW.dat,30.7,32.7,hover
2024-03-01_09-51-34_94GHz_FMCW.dat,30.7,32.7,hover
2024-03-01_09-52-00_94GHz_FMCW.dat,30.7,32.7,rotate
2024-03-01_09-52-20_94GHz_FMCW.dat,30.55,33,rotate
2024-03-01_09-53-25_94GHz_FMCW.dat,31.7,33.7,hover
2024-03-01_09-53-46_94GHz_FMCW.dat,31.8,33.6,hover
2024-03-01_09-54-12_94GHz_FMCW.dat,31.5,33.6,rotate
2024-03-01_09-54-25_94GHz_FMCW.dat,31.5,33.6,rotate
2024-03-01_09-55-10_94GHz_FMCW.dat,33.3,35.25,hover
2024-03-01_09-55-27_94GHz_FMCW.dat,33.3,35.25,hover
2024-03-01_09-55-56_94GHz_FMCW.dat,33.3,35.25,rotate
2024-03-01_09-56-10_94GHz_FMCW.dat,33.3,36,rotate
2024-03-01_10-14-24_94GHz_FMCW.dat,28.5,30.9,hover
2024-03-01_10-14-38_94GHz_FMCW.dat,28.5,30.9,hover
2024-03-01_10-15-00_94GHz_FMCW.dat,28.5,30.9,rotate
2024-03-01_10-15-14_94GHz_FMCW.dat,28.5,30.9,rotate
2024-03-01_10-16-25_94GHz_FMCW.dat,29,32,hover
2024-03-01_10-16-41_94GHz_FMCW.dat,29,32,hover
2024-03-01_10-17-27_94GHz_FMCW.dat,29,32,rotate
2024-03-01_10-17-45_94GHz_FMCW.dat,29,32,rotate
2024-03-01_10-19-25_94GHz_FMCW.dat,34.5,36.6,hover
2024-03-01_10-19-42_94GHz_FMCW.dat,34.5,36.6,hover
2024-03-01_10-20-06_94GHz_FMCW.dat,34,36.6,rotate
2024-03-01_10-20-17_94GHz_FMCW.dat,34,36.6,rotate
2024-03-01_10-45-45_94GHz_FMCW.dat,48,50.5,hover
2024-03-01_10-46-33_94GHz_FMCW.dat,48,50,hover
2024-03-01_10-46-56_94GHz_FMCW.dat,47.5,50,rotate
2024-03-01_10-47-54_94GHz_FMCW.dat,49,51.6,hover
2024-03-01_10-48-21_94GHz_FMCW.dat,49,51.6,rotate
2024-03-01_10-48-43_94GHz_FMCW.dat,49,51.2,rotate
2024-03-01_11-05-58_94GHz_FMCW.dat,48.5,51,hover
2024-03-01_11-06-16_94GHz_FMCW.dat,48.5,51,hover
2024-03-01_11-06-36_94GHz_FMCW.dat,48.5,51,rotate
2024-03-01_11-06-52_94GHz_FMCW.dat,48.5,51,rotate
2024-03-01_11-07-46_94GHz_FMCW.dat,49.1,51.5,hover
2024-03-01_11-07-57_94GHz_FMCW.dat,49.1,51.5,hover
2024-03-01_11-08-27_94GHz_FMCW.dat,49.1,51.5,rotate
2024-03-01_11-08-42_94GHz_FMCW.dat,49.1,51.5,rotate
2024-03-01_11-09-42_94GHz_FMCW.dat,49.7,52.6,hover
2024-03-01_11-10-05_94GHz_FMCW.dat,49.7,52.5,hover
2024-03-01_11-10-25_94GHz_FMCW.dat,49.5,52.5,rotate
2024-03-01_11-10-58_94GHz_FMCW.dat,49.3,52.3,rotate
